COG_category	Apilactobacillus kunkeei	Apilactobacillus bombintestini	Apilactobacillus apinorum	Bombilactobacillus folatiphilus	Bombilactobacillus thymidiniphilus
-	3.289473684210526	2.725563909774436	3.7606837606837606	2.558139534883721	2.5662959794696323
C	3.289473684210526	3.289473684210526	3.1623931623931623	3.488372093023256	3.592814371257485
CH	0.16447368421052633	0.09398496240601503	0.17094017094017094	0.07751937984496124	0.0
CO	0.08223684210526316	0.09398496240601503	0.08547008547008547	0.23255813953488372	0.2566295979469632
CP	0.08223684210526316	0.0	0.0	0.07751937984496124	0.0855431993156544
D	2.6315789473684212	2.725563909774436	2.735042735042735	1.8604651162790697	1.9674935842600514
DJ	0.0	0.0	0.0	0.07751937984496124	0.0
E	6.907894736842105	5.827067669172933	5.299145299145299	6.124031007751938	5.474764756201882
EG	0.4934210526315789	0.4699248120300752	0.5128205128205128	0.0	0.0
EGP	0.9868421052631579	0.9398496240601504	0.9401709401709402	1.4728682170542635	1.4542343883661248
EH	0.24671052631578946	0.09398496240601503	0.17094017094017094	0.31007751937984496	0.2566295979469632
EJ	0.08223684210526316	0.09398496240601503	0.08547008547008547	0.07751937984496124	0.0855431993156544
EK	0.08223684210526316	0.09398496240601503	0.08547008547008547	0.0	0.0
EP	0.08223684210526316	0.18796992481203006	0.17094017094017094	0.07751937984496124	0.1710863986313088
EQ	0.0	0.0	0.0	0.07751937984496124	0.0
ET	0.16447368421052633	0.18796992481203006	0.17094017094017094	0.15503875968992248	0.1710863986313088
F	7.319078947368421	5.827067669172933	7.17948717948718	5.271317829457364	5.132591958939265
FG	0.08223684210526316	0.09398496240601503	0.08547008547008547	0.07751937984496124	0.0855431993156544
FP	0.08223684210526316	0.09398496240601503	0.08547008547008547	0.0	0.0
G	3.536184210526316	3.4774436090225564	3.076923076923077	8.13953488372093	6.672369546621043
GH	0.08223684210526316	0.0	0.08547008547008547	0.0	0.0
GK	0.24671052631578946	0.2819548872180451	0.2564102564102564	0.15503875968992248	0.2566295979469632
GM	0.32894736842105265	0.18796992481203006	0.3418803418803419	0.15503875968992248	0.0855431993156544
GT	0.0	0.0	0.0	0.23255813953488372	0.0855431993156544
H	2.3848684210526314	2.725563909774436	2.4786324786324787	3.4108527131782944	3.849443969204448
HQ	0.0	0.0	0.0	0.07751937984496124	0.0855431993156544
I	2.2203947368421053	2.443609022556391	2.3076923076923075	2.4031007751937983	2.395209580838323
IM	0.08223684210526316	0.09398496240601503	0.08547008547008547	0.0	0.0
IQ	0.41118421052631576	0.4699248120300752	0.42735042735042733	0.46511627906976744	0.42771599657827203
J	12.5	14.097744360902256	12.905982905982906	11.472868217054264	12.660393498716852
JKL	0.08223684210526316	0.09398496240601503	0.08547008547008547	0.07751937984496124	0.0855431993156544
K	6.8256578947368425	6.203007518796992	7.094017094017094	8.217054263565892	6.8434559452523525
KL	0.08223684210526316	0.09398496240601503	0.08547008547008547	0.0	0.0
KLT	0.08223684210526316	0.09398496240601503	0.08547008547008547	0.07751937984496124	0.0855431993156544
KT	0.16447368421052633	0.09398496240601503	0.17094017094017094	0.23255813953488372	0.1710863986313088
KV	0.08223684210526316	0.0	0.08547008547008547	0.0	0.0
L	6.8256578947368425	7.612781954887218	8.205128205128204	7.286821705426356	7.18562874251497
LU	0.08223684210526316	0.09398496240601503	0.08547008547008547	0.07751937984496124	0.0855431993156544
LV	0.08223684210526316	0.0	0.0	0.0	0.0
M	6.0855263157894735	6.578947368421052	5.811965811965812	4.883720930232558	5.303678357570573
MU	0.08223684210526316	0.09398496240601503	0.08547008547008547	0.07751937984496124	0.0855431993156544
N	0.16447368421052633	0.09398496240601503	0.2564102564102564	0.07751937984496124	0.0
NOT	0.08223684210526316	0.09398496240601503	0.08547008547008547	0.07751937984496124	0.0855431993156544
NOU	0.08223684210526316	0.09398496240601503	0.08547008547008547	0.07751937984496124	0.0855431993156544
NT	0.08223684210526316	0.09398496240601503	0.0	0.0	0.0
NU	0.4934210526315789	0.4699248120300752	0.42735042735042733	0.31007751937984496	0.42771599657827203
O	2.713815789473684	3.101503759398496	2.4786324786324787	2.0155038759689923	2.395209580838323
P	3.700657894736842	3.6654135338345863	4.52991452991453	3.798449612403101	4.191616766467066
Q	0.5756578947368421	0.5639097744360902	0.42735042735042733	0.6201550387596899	0.5132591958939264
QT	0.08223684210526316	0.0	0.0	0.0	0.0
S	18.174342105263158	18.60902255639098	17.77777777777778	17.5968992248062	18.306244653550042
T	1.1513157894736843	1.2218045112781954	1.1965811965811965	1.627906976744186	1.7108639863130881
U	2.713815789473684	3.007518796992481	2.735042735042735	2.0155038759689923	2.0530367835757057
V	1.644736842105263	1.4097744360902256	1.5384615384615385	2.3255813953488373	2.5662959794696323
